Manufacturer,Model,ICAO Type Designator,ICAO Legacy WTC,RECAT-EU WTC
HAT,LS-2,LS2,L,CAT-F
ROLLADEN-,LS-8T,LS8,L,CAT-F
ROLLADEN-,LS-9,LS9,L,CAT-F
CUSTOM FLIGHT,Lite Star,LSTR,L,CAT-F
ENGLISH ELECTRIC,Lightning,LTNG,M,CAT-E
LUCAS,L-5,LUL5,L,CAT-F
LUCAS,L-6,LUL6,L,CAT-F
LUCAS,L-7,LUL7,L,CAT-F
LUCAS,L-8,LUL8,L,CAT-F
LAVIASA,Super Master,LV51,L,CAT-F
HOWARD HUGHES,Australian LightWing,LW20,L,CAT-F
HOWARD HUGHES,Australian LightWing,LW40,L,CAT-F
HOWARD HUGHES,Australian LightWing,LWIN,L,CAT-F
LILIENTHAL,Bekas (X-32),LX32,L,CAT-F
LILIENTHAL,X-34 Bekas,LX34,L,CAT-F
ELIXIR,Elixir,LXR,L,CAT-F
WESTLAND,Lysander,LYSA,L,CAT-F
MOONEY,M-10 Cadet,M10,L,CAT-F
MOONEY,M-10T,M10F,L,CAT-F
MOONEY,M-10J,M10R,L,CAT-F
MYASISHCHEV,Expedition,M101,L,CAT-F
LAMBERT,Mission (M-106),M106,L,CAT-F
LAMBERT,M-108 Mission,M108,L,CAT-F
MONOCOUPE,110 Special,M110,L,CAT-F
PZL-MIELEC,Belphegor,M15,L,CAT-F
MYASISHCHEV,M-17 Stratosfera,M17,M,CAT-D
PZL-MIELEC,Dromader,M18,L,CAT-F
PZL-MIELEC,Turbine Dromader,M18T,L,CAT-F
KUBICEK,Scout,M2,L,CAT-F
NORTH AMERICAN,200 Commander 200,M200,L,CAT-F
MYASISHCHEV,Barsuk,M203,L,CAT-F
MOONEY,M-20B Mark 21,M20P,L,CAT-F
MOONEY,M-20K 231,M20T,L,CAT-F
PZL-MIELEC,Dromader Mini,M21,L,CAT-F
LAMBERT,M-212 Mission,M212,L,CAT-F
MOONEY,Mustang,M22,L,CAT-F
PZL-MIELEC,Dromader Super,M24,L,CAT-F
PZL-MIELEC,Iskierka,M26,L,CAT-F
PZL-MIELEC,M-28 Skytruck,M28,L/M,CAT-F
PHILLIPS & POWIS,Hawk Speed Six,M2HK,L,CAT-F
MACCHI,MB-308,M308,L,CAT-F
MACCHI,MB-326,M326,L,CAT-F
ALENIA AERMACCHI,MB-339,M339,L,CAT-F
LEONARDO,M-345,M345,L,CAT-F
ALENIA AERMACCHI,M-346 Master,M346,M,CAT-F
AIRCRAFT,Meyer-360,M360,L,CAT-F
SAASA,Cuauhtemoc,M4,L,CAT-F
MARTIN,404,M404,M,CAT-E
MAULE,M-5,M5,L,CAT-F
MYASISHCHEV,Geophysica,M55,M,CAT-D
MAULE,M-6 Super Rocket,M6,L,CAT-F
PIPER,PA-46-600TP M600,M600,L,CAT-F
MAULE,MX-7-235 Star Rocket,M7,L,CAT-F
MAULE,MT-7-420,M7T,L,CAT-F
MAULE,M-8,M8,L,CAT-F
MAULE,M-9,M9,L,CAT-F
MURRAYAIR,MA-1 Paymaster,MA1,L,CAT-F
MARQUART,MA-5 Charger,MA5,L,CAT-F
XIAN,MA-60,MA60,M,CAT-E
XIAN,MA-60H,MA6H,M,CAT-E
IBIS (2),Magic,MAGC,L,CAT-F
PHILLIPS & POWIS,Magister,MAGI,L,CAT-F
AVID,Magnum,MAGN,L,CAT-F
PHOENIX (1),LA-5 Major,MAJR,L,CAT-F
LANCAIR,Mako,MAKO,L,CAT-F
MELBOURNE,MA-2 Mamba,MAMB,L,CAT-F
MERLIN,Merlin,MAME,L,CAT-F
AEA,Maverick,MAVR,L,CAT-F
MONTAER,MC-01,MC01,L,CAT-F
ZENAIR,Cricri,MC10,L,CAT-F
IRKUT,MC-21-300,MC23,M,CAT-D
MEYERS,MAC-145,MC45,L,CAT-F
MONOCOUPE,90,MC90,L,CAT-F
CHRIS TENA,Mini Coupe,MCOU,L,CAT-F
MONTANA,Coyote,MCOY,L,CAT-F
DYN'AERO,Lafayette 1 Sportster,MCR1,L,CAT-F
DYN'AERO,MCR-4,MCR4,L,CAT-F
DYN'AERO,MCR-R180,MCRR,L,CAT-F
KIMBALL,McCullocoupe,MCUL,L,CAT-F
MCDONNELL,MD-11,MD11,H,CAT-C
SME,AeroTiga,MD3,L,CAT-F
GRYF,MD-3 Rider,MD3R,L,CAT-F
MCDONNELL,MD-81,MD81,M,CAT-D
MCDONNELL,MD-82,MD82,M,CAT-D
MCDONNELL,MD-83,MD83,M,CAT-D
MCDONNELL,MD-87,MD87,M,CAT-D
MCDONNELL,MD-88,MD88,M,CAT-D
MCDONNELL,MD-90,MD90,M,CAT-D
NORD,1002 Pingouin 2,ME08,L,CAT-F
MESSERSCHMITT,Bf-109,ME09,L,CAT-F
MESSERSCHMITT,Me-262 Replica,ME62,L,CAT-F
MEAD,Adventure,MEAD,L,CAT-F
GARRISON,Melmoth 2,MEL2,L,CAT-F
AVIATON,Merkury,MERK,L,CAT-F
MILES,Messenger,MESS,L,CAT-F
GLOSTER,Meteor,METR,M,CAT-F
MERLIN,Explorer,MEXP,L,CAT-F
MALMO,Vipan,MF10,L,CAT-F
SAAB,MFI-17 Supporter,MF17,L,CAT-F
PZL-MIELEC,LiM-1,MG15,L,CAT-F
SHENYANG,J-5,MG17,L,CAT-F
SHENYANG,JJ-6,MG19,M,CAT-F
MIKOYAN,MiG-21,MG21,M,CAT-F
MIKOYAN,MiG-27,MG23,M,CAT-E
MIKOYAN,MiG-25,MG25,M,CAT-E
MIKOYAN,MiG-33,MG29,M,CAT-E
MIKOYAN,MiG-31,MG31,M,CAT-E
MIKOYAN,MiG 1-44,MG44,M,CAT-E
MIKOYAN,MiG-AT,MGAT,L,CAT-F
WZL 3,DEKO-9,MGIC,L,CAT-F
AVIATION,Magnum,MGNM,L,CAT-F
HONDA-MISSISSIPPI,MH-02,MH02,L,CAT-F
AEROSETTE,Eclipse,MH46,L,CAT-F
MICROTURBO,Microjet 200,MICO,L,CAT-F
ACBA,Midour 2,MIDR,L,CAT-F
TAYLOR (2),Mini-Imp,MIMP,L,CAT-F
MUSTANG,Midget Mustang,MIMU,L,CAT-F
DASSAULT,Vajra,MIR2,M,CAT-E
IAI,Dagger,MIRA,M,CAT-F
MOONEY,M-18 Wee Scotsman,MITE,L,CAT-F
JURCA,Spit,MJ10,L,CAT-F
JURCA,MJ-12 P-40,MJ12,L,CAT-F
JURCA,MJ-100 Spitfire Replica,MJ1H,L,CAT-F
SIRAVIA,MJ-22 Tempête,MJ2,L,CAT-F
JURCA,MJ-3 Dart,MJ3,L,CAT-F
JURCA,Shadow,MJ4,L,CAT-F
JURCA,Sirocco,MJ5,L,CAT-F
JURCA,MJ-53 Autan,MJ53,L,CAT-F
JURCA,MJ-55 Biso,MJ55,L,CAT-F
JURCA,MJ-7 Gnatsum,MJ7,L,CAT-F
JURCA,MJ-77 Gnatsum,MJ77,L,CAT-F
JURCA,MJ-8 1-Nine-0,MJ8,L,CAT-F
JURCA,MJ-80 Focke-Wulf Fw-,MJ80,L,CAT-F
JURCA,MJ-9,MJ9,L,CAT-F
JURCA,Messerschmitt Bf-109,MJ90,L,CAT-F
ALANNE,Moottori-Lerche,MLER,L,CAT-F
MCCARLEY,Mini-Mac,MMAC,L,CAT-F
MARA WING,Malamut,MMUT,L,CAT-F
NORMAN,Nordic 8 Mini Explorer,MNEX,L,CAT-F
CULP,MonoCulp,MOCU,L,CAT-F
MONTAGNE,Mountain Goat,MOGO,L,CAT-F
MOLNIYA,1,MOL1,L,CAT-F
MILES,Monarch,MONA,L,CAT-F
MONNETT,Moni,MONI,L,CAT-F
VARGA,2150 Kachina,MOR2,L,CAT-F
MONG,Sport,MOSP,L,CAT-F
DE HAVILLAND,Mosquito,MOSQ,M,CAT-F
HUMBERT,Moto Du Ciel,MOTO,L,CAT-F
AERO-KROS,MP-02 Czajka,MP02,L,CAT-F
PLAN,MP-207 Busard,MP20,L,CAT-F
MURPHY,Super Rebel (SR-2500),MR25,L,CAT-F
MURPHY,SR-3500 Super Rebel,MR35,L,CAT-F
MURPHY,SR-3500 T-Moose,MR3T,L,CAT-F
MONNETT,Monerai P,MRAI,L,CAT-F
HARMON (1),1-2 Mister America,MRAM,L,CAT-F
DASSAULT,Mirage F1,MRF1,M,CAT-E
MITSUBISHI,MRJ-70,MRJ7,M,CAT-E
MITSUBISHI,MRJ-90,MRJ9,M,CAT-E
MIRAGE,Marathon,MRTN,L,CAT-F
MYSKY,MS-1,MS1,L,CAT-F
SOCATA,MS-200FG Morane,MS18,L,CAT-F
MORANE-SAULNIER,MS-230,MS23,L,CAT-F
SOCATA,MS-200RG Morane,MS25,L,CAT-F
SOCATA,Epsilon 2,MS30,L,CAT-F
MORANE-SAULNIER,MS-317,MS31,L,CAT-F
MORANE-SAULNIER,MS-733 Alcyon,MS73,L,CAT-F
MORANE-SAULNIER,MS-760 Paris,MS76,L,CAT-F
MORANE-SAULNIER,AI,MSAI,L,CAT-F
MACKEY,SQ-2,MSQ2,L,CAT-F
MITSUBISHI,T-2,MT2,M,CAT-F
MITSUBISHI,MU-2 Solitaire,MU2,L,CAT-F
AKAFLIEG MUNCHEN,Mü-23 Saurier,MU23,L,CAT-F
MITSUBISHI,MU-300 Diamond,MU30,M,CAT-F
MUSTANG,Mustang 2,MUS2,L,CAT-F
MVEN,Fermer,MVN1,L,CAT-F
PHOENIX (2),Maverick,MVRK,L,CAT-F
AGRO-COPTEROS,Aventura,MX10,L,CAT-F
AMD,Patriot,MX1T,L,CAT-F
MXR,MX-2,MX2,L,CAT-F
AEROANDINA,MXP-158 Embera,MX58,L,CAT-F
AGRO-COPTEROS,Amigo,MX65,L,CAT-F
AEROTEC (2),Fantasy,MX80,L,CAT-F
MXR,MXS,MXS,L,CAT-F
MYLIUS,MY-102 Tornado,MY12,L,CAT-F
MYLIUS,Mistral,MY13,L,CAT-F
MYASISHCHEV,3M,MYA4,H,CAT-C
DASSAULT,Mystère 4A,MYS4,M,CAT-F
NORD,1102 Ramier 2,N110,L,CAT-F
NORD,1200 Norecrin,N120,L,CAT-F
NUSANTARA,N-250,N250,M,CAT-E
NORD,260 Super Broussard,N260,M,CAT-F
NORD,262 Frégate,N262,M,CAT-F
NOSTALGAIR,N-3 Super Pup,N3,L,CAT-F
NORD,3202,N320,L,CAT-F
NORD,3400,N340,L,CAT-F
NAVAL AIRCRAFT,N3N,N3N,L,CAT-F
NANCHANG,N-5,N5,L,CAT-F
TANEJA,Hansa,NAL2,L,CAT-F
TUSCO,Navion,NAVI,L,CAT-F
NORD,NC-858,NC85,L,CAT-F
NDN,NDN-1T Turbo,ND1T,L,CAT-F
NORMAND DUBE,Aerocruiser,NDAC,L,CAT-F
NORMAND DUBE,Aerocruiser Turbo 450,NDAT,L,CAT-F
NORMAN,Nordic 7,NDIC,L,CAT-F
ROKO AERO,NG-4,NG4,L,CAT-F
BRM AERO,NG-5 Bristell,NG5,L,CAT-F
NEW HORIZONS,Colibri,NHCO,L,CAT-F
NIEUPORT,28 Replica,NI28,L,CAT-F
AVIAMILANO,F-14 Nibbio,NIBB,L,CAT-F
SCHEMPP-HIRTH,Nimbus 4T,NIMB,L,CAT-F
TIPSY,Nipper,NIPR,L,CAT-F
NAL,NM-5,NM5,L,CAT-F
EURO-ENAER,Eaglet,NMCU,L,CAT-F
BEST OFF,Nynja,NNJA,L,CAT-F
GAF,N-22 Nomad,NOMA,L,CAT-F
NORDFLUG,2501 Noratlas,NORA,M,CAT-D
NOORDUYN,JA Norseman,NORS,L,CAT-F
REDFERN,Nieuport 17,NPOR,L,CAT-F
CUSTOM FLIGHT,North Star,NSTR,L,CAT-F
NUWACO,T-10,NT10,L,CAT-F
NEMESIS,NXT,NXT,L,CAT-F
FUJI,L-19 Bird Dog,O1,L,CAT-F
LOCKHEED,YO-3,O3,L,CAT-F
MORRISEY,OM-1 Bravo,OM1,L,CAT-F
O'NEILL,Magnum,OMAG,L,CAT-F
ISAE,Omega 2,OMGA,L,CAT-F
OMAC,Laser 300,OMLA,L,CAT-F
C2P,One,ONE,L,CAT-F
SONEX,Onex,ONEX,L,CAT-F
OPTICA,Optica,OPCA,L,CAT-F
PARTENAVIA,P-66 Oscar,OSCR,L,CAT-F
OLYMPIC,Desert Eagle 2,OUDE,L,CAT-F
VITEK,Ovod,OVOD,L,CAT-F
BUCHANAN,Ozzie Mozzie,OZZI,L,CAT-F
TECNAM,P-2006T,P06T,L,CAT-F
KAWASAKI,XP-1,P1,M,CAT-D
PIAGGIO,P-1HH Hammerhead,P1HH,L,CAT-F
POTTIER,P-100,P100,L,CAT-F
POTTIER,Bleu Citron,P130,L,CAT-F
PIAGGIO,P-148,P148,L,CAT-F
PIAGGIO,P-149,P149,L,CAT-F
PIAGGIO,Avanti,P180,L,CAT-F
SMITH AVIATION,Super Cub (PA-18T),P18T,L,CAT-F
AVIAMILANO,P-19 Scricciolo,P19,L,CAT-F
LOCKHEED,L-726 Neptune,P2,M,CAT-E
TECNAM,P-2008,P208,L,CAT-F
RILEY,Rocket P210,P210,L,CAT-F
TECNAM,P-2012 Traveller,P212,L,CAT-F
POTTIER,P-220 Koala,P220,L,CAT-F
POTTIER,P-230 Panda,P230,L,CAT-F
GRYF,P-27 Skyster,P27,L,CAT-F
POTTIER,Amster,P270,L,CAT-F
PIPER,PA-28-181 Cherokee,P28A,L,CAT-F
PIPER,PA-28-236 Dakota,P28B,L,CAT-F
PIPER,PA-28R-201 Cherokee,P28R,L,CAT-F
PIPER,Turbo Arrow 3,P28S,L,CAT-F
PIPER,PA-28RT-201 Arrow 4,P28T,L,CAT-F
PIPER,Turbo Arrow 4,P28U,L,CAT-F
LOCKHEED MARTIN,P-3 Orion,P3,M,CAT-E
PIPER,PA-32R-300 Cherokee,P32R,L,CAT-F
PIPER,Turbo Lance 2,P32T,L,CAT-F
REIMS,FP337 Pressurized,P337,L,CAT-F
LOCKHEED,L-422 Lightning,P38,M,CAT-F
BELL,Airacobra,P39,L,CAT-F
CURTISS,Warhawk,P40,L,CAT-F
PIPER,PA-46-500TP Malibu,P46T,L,CAT-F
REPUBLIC,Thunderbolt,P47,M,CAT-F
CONVAIR,Privateer,P4Y,M,CAT-D
POTTIER,P-50 Bouvreuil,P50,L,CAT-F
NORTH AMERICAN,Mustang,P51,L,CAT-F
PARTENAVIA,P-57 Fachiro 2,P57,L,CAT-F
POTTIER,Minacro,P60,L,CAT-F
NORTHROP,Black Widow,P61,M,CAT-E
BELL,Kingcobra,P63,L,CAT-F
TRECKER,166,P66P,L,CAT-F
PIAGGIO,P-166DP1,P66T,L,CAT-F
VULCANAIR,P-68,P68,L,CAT-F
PARTENAVIA,AP-68TP-300,P68T,L,CAT-F
POTTIER,P-70,P70,L,CAT-F
PACIFIC AEROSPACE,750XL,P750,L,CAT-F
BOEING,P-8 Poseidon,P8,M,CAT-D
POTTIER,P-80,P80,L,CAT-F
NORTH AMERICAN,F-82 Twin Mustang,P82,M,CAT-F
TEXAS SPORT,TX-11 Texas Sport,PA11,L,CAT-F
PIPER,Super Cruiser,PA12,L,CAT-F
WAGAERO,2+2 Sportsman,PA14,L,CAT-F
WAGAERO,Wag-a-Bond,PA15,L,CAT-F
PIPER,PA-16 Clipper,PA16,L,CAT-F
PIPER,PA-17 Vagabond,PA17,L,CAT-F
YAKIMA AEROSPORT,Super 18 Turbo Cub,PA18,L,CAT-F
PIPER,PA-20 Pacer,PA20,L,CAT-F
PIPER,PA-22 Colt,PA22,L,CAT-F
SEGUIN,Geronimo,PA23,L,CAT-F
PIPER,PA-24 Comanche,PA24,L,CAT-F
PIPER,PA-25 Pawnee,PA25,L,CAT-F
PIPER,PA-23-250 Turbo,PA27,L,CAT-F
PIPER,PA-30 Turbo Twin,PA30,L,CAT-F
PIPER,PA-31-350 Navajo,PA31,L,CAT-F
PIPER,PA-32 6X,PA32,L,CAT-F
PIPER,PA-34 Seneca,PA34,L,CAT-F
PIPER,PA-36 Pawnee Brave,PA36,L,CAT-F
PIPER,Tomahawk,PA38,L,CAT-F
PIPER,Turbo Seminole,PA44,L,CAT-F
PIPER,PA-46-310P Malibu,PA46,L,CAT-F
PIPER,Piper Jet Altaire,PA47,L,CAT-F
BELLANCA,CH-300 Pacemaker,PACE,L,CAT-F
SAUPER,ADV-01 Papango,PAGO,L,CAT-F
ROTEC,Panther 2,PANT,L,CAT-F
PARADISE,P-1,PAR1,L,CAT-F
PARADISE,P-4,PAR4,L,CAT-F
ST. CROIX,Pietenpol Aerial,PARL,L,CAT-F
ATAC,Patriot 2,PAT2,L,CAT-F
SCHAFER,Comanchero 500,PAT4,L,CAT-F
PAULISTA,Paulistinha,PAUL,L,CAT-F
PIPER,PA-31T1-500,PAY1,L,CAT-F
PIPER,PA-31T-620 Cheyenne,PAY2,L,CAT-F
PIPER,PA-42-720 Cheyenne 3,PAY3,L,CAT-F
PIPER,PA-42-1000 Cheyenne,PAY4,L,CAT-F
PILATUS,Eagle,PC12,L,CAT-F
PILATUS,PC-21,PC21,L,CAT-F
PILATUS,PC-24,PC24,M,CAT-F
PILATUS,PC-6 Porter,PC6P,L,CAT-F
PILATUS,PC-6C Turbo-Porter,PC6T,L,CAT-F
PILATUS,PC-7 Turbo Trainer,PC7,L,CAT-F
PILATUS,PC-9,PC9,L,CAT-F
VSTOL,SST-2000 Pairadigm,PDIG,L,CAT-F
PRO-COMPOSITES,Personal Cruiser,PECR,L,CAT-F
GENERAL AVIA,Pegaso,PEGA,L,CAT-F
TAPANEE,Pegazair,PEGZ,L,CAT-F
ULTRAVIA,Pelican,PELI,L,CAT-F
PERCIVAL,Pembroke,PEMB,L,CAT-F
AERO ITBA,Petrel,PETL,L,CAT-F
HOLCOMB,Perigee,PGEE,L,CAT-F
WESTERN,Hirondelle,PGK1,L,CAT-F
FREEDOM,Phoenix,PHNX,L,CAT-F
PIPISTREL,Alpha Electro,PIAE,L,CAT-F
PIPISTREL,Alpha Trainer,PIAT,L,CAT-F
PROCAER,F-15 Picchio,PICO,L,CAT-F
PIPER,PA-28R-300 Pillán,PILL,L,CAT-F
GENERAL AVIA,F-22 Pinguino,PINO,L,CAT-F
PIPISTREL,Panthera,PIPA,L,CAT-F
PIPISTREL,Sinus,PISI,L,CAT-F
PIPISTREL,Taurus Electro G4,PIT4,L,CAT-F
PIPISTREL,Taurus 503,PITA,L,CAT-F
PIPISTREL,Taurus Electro G2,PITE,L,CAT-F
PIPISTREL,Velis Electro,PIVE,L,CAT-F
PIPISTREL,Virus,PIVI,L,CAT-F
PIK,PIK-11 Tumppu,PK11,L,CAT-F
PIK,PIK-15 Hinu,PK15,L,CAT-F
PIK,PIK-18 Sytky,PK18,L,CAT-F
PIK,PIK-19 Muhinu,PK19,L,CAT-F
PIK,PIK-20E,PK20,L,CAT-F
PIK,PIK-21 Super Sytky,PK21,L,CAT-F
VALMET,PIK-23 Suhinu,PK23,L,CAT-F
PIK,Varttimarkka,PK25,L,CAT-F
UETZ,U-3M Pelikan,PKAN,L,CAT-F
PAZMANY,Laminar,PL1,L,CAT-F
TRANSAVIA,Airtruk,PL12,L,CAT-F
PAZMANY,PL-2,PL2,L,CAT-F
PAZMANY,PL-4,PL4,L,CAT-F
PAZMANY,Stork,PL9,L,CAT-F
TAYLORCRAFT (2),Auster 1,PLUS,L,CAT-F
ALPI,Pioneer 200,PNR2,L,CAT-F
ALPI,Pioneer 300,PNR3,L,CAT-F
ALPI,Pioneer 400,PNR4,L,CAT-F
PZL-OKECIE,CSS-13,PO2,L,CAT-F
POTEZ,Sauterelle,PO60,L,CAT-F
ALVAREZ,Polliwagen,POLI,L,CAT-F
PILATUS,P-2,PP2,L,CAT-F
PILATUS,P-3,PP3,L,CAT-F
PERCIVAL,Provost,PPRO,L,CAT-F
HOWARD HUGHES,Pocket Rocket PR-Bipe,PRBP,L,CAT-F
HOWARD HUGHES,Pocket Rocket PR-,PRBR,L,CAT-F
PERCIVAL,P-57 Sea Prince,PRCE,L,CAT-F
PERCIVAL,P-40 Prentice,PREN,L,CAT-F
GM&T,GM&T Pretty Flight,PRET,L,CAT-F
PRIVATE EXPLORER,Private Explorer,PREX,L,CAT-F
BLACKSHAPE,Bk-100 Prime,PRIM,L,CAT-F
RAYTHEON,390 Premier 1,PRM1,L,CAT-F
PERCIVAL,P-28 Proctor,PROC,L,CAT-F
CZAW,Parrot,PROT,L,CAT-F
PROWLER,Prowler,PROW,L,CAT-F
HOWARD HUGHES,Pocket Rocket PR-XP,PRPR,L,CAT-F
SCALED,281 Proteus,PRTS,L,CAT-F
PRIVATE EXPLORER,T-Explorer,PRXT,L,CAT-F
PODESVA,Stearman,PSTM,L,CAT-F
POTTIER,Coati,PT21,L,CAT-F
RYAN,ST-3KR Recruit,PT22,L,CAT-F
POTTIER,P-170,PT70,L,CAT-F
POTTIER,P-180,PT80,L,CAT-F
PITTS,Super Stinker (S-12),PTMS,L,CAT-F
NASH,Petrel,PTRL,L,CAT-F
PITTS,S-1 Special,PTS1,L,CAT-F
PITTS,S-2 Special,PTS2,L,CAT-F
PITTS,S-1-11 Super Stinker,PTSS,L,CAT-F
PULSAR,Super Pulsar 600,PUL6,L,CAT-F
SKYSTAR,Pulsar,PULS,L,CAT-F
BEAGLE,B-121 Pup,PUP,L,CAT-F
RANS,Pursuit,PURS,L,CAT-F
PRESCOTT,Pusher,PUSH,L,CAT-F
POLITECHNIKA,PW-4,PW4,L,CAT-F
PZL-OKECIE,PZL-101 Gawron,PZ01,L,CAT-F
PZL-OKECIE,PZL-102 Kos,PZ02,L,CAT-F
PZL-OKECIE,PZL-104 Wilga 35,PZ04,L,CAT-F
PZL-OKECIE,PZL-105 Flaming,PZ05,L,CAT-F
PZL-OKECIE,PZL-106A Kruk,PZ06,L,CAT-F
PZL-OKECIE,Koliber Junior,PZ12,L,CAT-F
PZL-OKECIE,Mrówka,PZ26,L,CAT-F
PZL-OKECIE,Orlik,PZ3T,L,CAT-F
PZL-OKECIE,PZL-104M Wilga 2000,PZ4M,L,CAT-F
PZL-OKECIE,PZL-106AT Turbo,PZ6T,L,CAT-F
REINER STEMME,Q-01,Q01,L,CAT-F
GENERAL ATOMICS,MQ-1 Predator,Q1,L,CAT-F
NORTHROP,RQ-4 Global Hawk,Q4,M,None
NANCHANG,A-5,Q5,M,CAT-E
GENERAL ATOMICS,MQ-9 Reaper,Q9,L,CAT-F
BOEING,Stingray,Q25,M,None
AEROSPORT,Quail,QAIL,L,CAT-F
FMP,Qualt,QALT,L,CAT-F
OMNI-WELD,Questor,QEST,L,CAT-F
QUICKIE,Quickie Q2,QIC2,L,CAT-F
QUERCY,CQR-01,QR01,L,CAT-F
AEROALCOOL,Quasar Lite,QUAS,L,CAT-F
QUICKIE,Quickie,QUIC,L,CAT-F
ROBIN,Aiglon,R100,L,CAT-F
RIHN,DR-109 Rhino,R109,L,CAT-F
RUPERT,R-11,R11,L,CAT-F
BOEING,TC-135,R135,H,CAT-C
ROCKET,Rocket 185,R185,L,CAT-F
ROBIN,Alpha,R200,L,CAT-F
ROBIN,R-3100,R300,L,CAT-F
BOEING,727-100RE Super 27,R721,M,CAT-D
BOEING,727-200RE Super 27,R722,M,CAT-D
RUSCHMEYER,R-90-230FG,R90F,L,CAT-F
RUSCHMEYER,R-90-230RG,R90R,L,CAT-F
RUSCHMEYER,R-90-420AT,R90T,L,CAT-F
MARANDA,Loisirs,RA14,L,CAT-F
MARANDA,BM-3,RA17,L,CAT-F
SKY RAIDER,Super Sky Raider,RAID,L,CAT-F
AEROSPORT,Rail,RAIL,L,CAT-F
SOCATA,MS-880 Rallye Club,RALL,L,CAT-F
NAVION,Rangemaster,RANG,L,CAT-F
NEW CENTURY,Radial Rocket,RARO,L,CAT-F
RAVIN,Ravin 300,RAV3,L,CAT-F
RAVIN,Ravin 500,RAV5,L,CAT-F
SAINT GERMAIN,Raz-Mut,RAZM,L,CAT-F
MURPHY,Rebel Elite,RBEL,L,CAT-F
ROCKWELL,Commander 710,RC70,L,CAT-F
MURPHY,Radical,RCAL,L,CAT-F
DURUBLE,RD-03 Edelweiss,RD03,L,CAT-F
DENIZE,Raid Driver,RD20,L,CAT-F
REDFERN,DH-2,RDH2,L,CAT-F
STINSON,Reliant,RELI,L,CAT-F
MURPHY,Renegade,RENE,L,CAT-F
FOURNIER,RF-10,RF10,L,CAT-F
FOURNIER,RF-3,RF3,L,CAT-F
SPORTAVIA-PUTZER,RF-4,RF4,L,CAT-F
FOURNIER,RF-47,RF47,L,CAT-F
SPORTAVIA-PUTZER,Sperber,RF5,L,CAT-F
SLINGSBY,Firefly,RF6,L,CAT-F
GOMOLZIG,RF-9,RF9,L,CAT-F
DASSAULT,Rafale,RFAL,M,CAT-E
NEIVA,C-42 Regente,RGNT,L,CAT-F
JUNQUA,Ibis,RJ03,L,CAT-F
BRITISH AEROSPACE,RJ-100,RJ1H,M,CAT-E
BRITISH AEROSPACE,RJ-70,RJ70,M,CAT-E
BRITISH AEROSPACE,RJ-85,RJ85,M,CAT-E
KALINAUSKAS,RK-5,RK5,L,CAT-F
YAKIMA AEROSPORT,Super Breezy,RLU1,L,CAT-F
DAC,RangeR,RNGR,L,CAT-F
VELOCITY,Rocket Racer,ROAR,L,CAT-F
RIHN,One Design,RODS,L,CAT-F
PASOTTI,F-7 Rondone 2,ROND,L,CAT-F
MAUPIN,Windrose,ROSE,L,CAT-F
RANS,S-12 Airaile,RS12,L,CAT-F
SPORTAVIA-PUTZER,Sportsman,RS18,L,CAT-F
RANS,S-20 Raven,RS20,L,CAT-F
ANS,S-21 Outbound,RS21,L,CAT-F
RTAF,Chandra,RTA4,L,CAT-F
SCINTEX,ML-250 Rubis,RUBI,L,CAT-F
VAN'S,RV-10,RV10,L,CAT-F
VAN'S,RV-12,RV12,L,CAT-F
VAN'S,RV-14,RV14,L,CAT-F
VAN'S,RV-3,RV3,L,CAT-F
VAN'S,RV-4,RV4,L,CAT-F
VAN'S,RV-4T,RV4T,L,CAT-F
VAN'S,RV-6,RV6,L,CAT-F
VAN'S,RV-7,RV7,L,CAT-F
VAN'S,RV-8,RV8,L,CAT-F
VAN'S,RV-9,RV9,L,CAT-F
RAGWING,Stork (RW-19),RW19,L,CAT-F
RAGWING,Stork (RW-20),RW20,L,CAT-F
RAGWING,Tiger Moth,RW22,L,CAT-F
RAGWING,Special 2,RW26,L,CAT-F
RHEIN-WEST-FLUG,RW-3 Multoplane,RW3,L,CAT-F
TECHNOAVIA,Rysachok,RYSA,L,CAT-F
RYAN,ST-M,RYST,L,CAT-F
SIAI-MARCHETTI,S-205-18F,S05F,L,CAT-F
SIAI-MARCHETTI,S-205-22R,S05R,L,CAT-F
INTERSTATE,Arctic Tern,S1,L,CAT-F
STINSON,10 Voyager,S10,L,CAT-F
STINSON,108 Voyager,S108,L,CAT-F
STEMME,Chrysalis,S10S,L,CAT-F
FOKKER,Instructor,S11,L,CAT-F
SKYLINE,SL-122 Pchelka,S122,L,CAT-F
STEMME,S-12 Twin Voyager,S12S,L,CAT-F
STEMME,S-15,S15S,L,CAT-F
STEMME,S-15 Patroller,S15U,L,CAT-F
SIPA,S-200 Minijet,S200,L,CAT-F
SIAI-MARCHETTI,S-208,S208,L,CAT-F
MACDONALD,S-21,S21,L,CAT-F
SINGAPORE,S-211,S211,L,CAT-F
SIAT,223 Flamingo,S223,L,CAT-F
CIRRUS,SR-22T,S22T,L,CAT-F
GRUMMAN,Tracker,S2P,M,CAT-F
MARSH,Turbo Tracker,S2T,M,CAT-F
LOCKHEED,L-394 Viking,S3,M,CAT-E
SUKHOI,S-37 Berkut,S37,M,CAT-E
ARCTIC,S-4 Privateer,S4,L,CAT-F
PARTENAIR,Mystere,S45,L,CAT-F
