Manufacturer,Model,ICAO Type Designator,ICAO Legacy WTC,RECAT-EU WTC
INNOVAVIATION,FX-1,FX1,L,CAT-F
GUERIN,G-1,G1,L,CAT-F
GROB,Twin 3SL,G103,L,CAT-F
GROB,Ranger (G-109),G109,L,CAT-F
GROB,Bavarian,G115,L,CAT-F
GROB,G-120 Snunit,G120,L,CAT-F
GROB,G-120TP,G12T,L,CAT-F
GROB,G-140TP,G140,L,CAT-F
IAI,Gulfstream G150,G150,M,CAT-F
GRUMMAN,TC-4 Academe,G159,M,CAT-E
GROB,Acro,G15T,L,CAT-F
GROB,Ranger (G-160),G160,L,CAT-F
SERV-AERO,Ag-Cat-Leo,G164,L,CAT-F
GENERAL AIRCRAFT,Skyfarer,G180,L,CAT-F
GILES,G-200,G200,L,CAT-F
GILES,G-202,G202,L,CAT-F
ALENIA,C-27A Spartan,G222,M,CAT-E
IAI,Gulfstream G250,G250,M,CAT-E
IAI,Gulfstream G280,G280,M,CAT-E
SOKO,G-2 Galeb,G2GL,L,CAT-F
WACO,CLASSIC 2T-1,G2T1,L,CAT-F
REMOS,Mirage,G3,L,CAT-F
GILES,G-300,G300,L,CAT-F
FIAT,G-46,G46,L,CAT-F
SOKO,G-4 Super Galeb,G4SG,L,CAT-F
FIAT,G-59,G59,L,CAT-F
SCHWEIZER,G-164 Turbo Ag-Cat,G64T,L,CAT-F
GROPPO,SG-70 STOLGlass,G70,L,CAT-F
GRINVALDS,Orion,G800,L,CAT-F
GROB,G-850 Strato 2C,G850,M,CAT-F
GRUMMAN,C-1 Trader,G96,M,CAT-F
SAI (2),G-97 Spotter,G97,L,CAT-F
GIPPSAERO,GA-10,GA10,L,CAT-F
GIPPSLAND,Fatman,GA20,L,CAT-F
GULFSTREAM,Gulfstream G500 (G-7),GA5C,M,CAT-E
GULFSTREAM,Gulfstream G600,GA6C,M,CAT-E
SOCATA,TB-360 Tangara,GA7,L,CAT-F
GULFSTREAM,Gulfstream G700,GA7C,M,CAT-E
GIPPSLAND,Airvan,GA8,L,CAT-F
BLACKSHAPE,Gabriel,GABR,L,CAT-F
IAI,Galaxy,GALX,M,CAT-E
FAIREY,Gannet,GANT,M,CAT-F
GLOSTER,Gauntlet,GAUN,L,CAT-F
GAVILAN,EL-1 Gavilan 358,GAVI,L,CAT-F
